"Variable","IsPublic","IsSecretish","IsMessaging","IsPayments","IsStorage"
"ADMIN_2FA_ENABLED","False","False","False","False","False"
"ADMIN_NOTIFY_EMAIL","False","False","False","False","False"
"AISENSY_API_KEY","False","True","False","False","False"
"AISENSY_API_URL","False","False","False","False","False"
"APP_URL","False","False","False","False","False"
"APPLE_CLIENT_ID","False","False","False","False","False"
"AUTH_SECRET","False","True","False","False","False"
"CHECKOUT_OTP_REQUIRED","False","False","True","False","False"
"CRON_SECRET","False","True","False","False","False"
"DATABASE_URL","False","False","False","False","False"
"DIRECT_URL","False","False","False","False","False"
"EMAIL_FROM","False","False","False","False","False"
"FACEBOOK_APP_ID","False","False","False","False","False"
"FACEBOOK_APP_SECRET","False","True","False","False","False"
"FAL_KEY","False","True","False","False","False"
"FAST2SMS_API_KEY","False","True","True","False","False"
"FAST2SMS_BASE_URL","False","False","True","False","False"
"FAST2SMS_DLT_ENTITY_ID","False","False","True","False","False"
"FAST2SMS_OTP_TEMPLATE_ID","False","False","True","False","False"
"FAST2SMS_SENDER_ID","False","False","True","False","False"
"FAST2SMS_WHATSAPP_ENABLED","False","False","True","False","False"
"FOUNDER_EMAIL","False","False","False","False","False"
"GOOGLE_CLIENT_ID","False","False","False","False","False"
"NEEJEE_STATE_CODE","False","False","False","False","False"
"NEXT_PUBLIC_APP_URL","True","False","False","False","False"
"NEXT_PUBLIC_APPLE_CLIENT_ID","True","False","False","False","False"
"NEXT_PUBLIC_BASE_URL","True","False","False","False","False"
"NEXT_PUBLIC_FACEBOOK_APP_ID","True","False","False","False","False"
"NEXT_PUBLIC_GA4_ID","True","False","False","False","False"
"NEXT_PUBLIC_GOOGLE_CLIENT_ID","True","False","False","False","False"
"NEXT_PUBLIC_INSTAGRAM_URL","True","False","False","False","False"
"NEXT_PUBLIC_META_PIXEL_ID","True","False","False","False","False"
"NEXT_PUBLIC_NEEJEE_BANK_AC","True","False","False","False","False"
"NEXT_PUBLIC_NEEJEE_BANK_NAME","True","False","False","False","False"
"NEXT_PUBLIC_NEEJEE_EMAIL","True","False","False","False","False"
"NEXT_PUBLIC_NEEJEE_GSTIN","True","False","False","False","False"
"NEXT_PUBLIC_NEEJEE_IFSC","True","False","False","False","False"
"NEXT_PUBLIC_NEEJEE_LEGAL_NAME","True","False","False","False","False"
"NEXT_PUBLIC_NEEJEE_PAN","True","False","False","False","False"
"NEXT_PUBLIC_NEEJEE_PHONE","True","False","False","False","False"
"NEXT_PUBLIC_NEEJEE_PUBLIC_EMAIL","True","False","False","False","False"
"NEXT_PUBLIC_NEEJEE_PUBLIC_PHONE","True","False","False","False","False"
"NEXT_PUBLIC_NEEJEE_PUBLIC_WHATSAPP","True","False","True","False","False"
"NEXT_PUBLIC_NEEJEE_SIGNATORY","True","False","False","False","False"
"NEXT_PUBLIC_NEEJEE_SIGNATORY_TITLE","True","False","False","False","False"
"NEXT_PUBLIC_NEEJEE_WEBSITE","True","False","False","False","False"
"NEXT_PUBLIC_SUPABASE_URL","True","False","False","False","True"
"NEXTAUTH_SECRET","False","True","False","False","False"
"NIDHI_EMAIL","False","False","False","False","False"
"NODE_ENV","False","False","False","False","False"
"OPENAI_API_KEY","False","True","False","False","False"
"OPENAI_MODEL","False","False","False","False","False"
"OTP_LOGIN_ENABLED","False","False","True","False","False"
"RAZORPAY_KEY_ID","False","True","False","True","False"
"RAZORPAY_KEY_SECRET","False","True","False","True","False"
"RAZORPAY_WEBHOOK_SECRET","False","True","False","True","False"
"RAZORPAYX_ACCOUNT_NUMBER","False","False","False","True","False"
"RAZORPAYX_WEBHOOK_SECRET","False","True","False","True","False"
"REPLICATE_API_TOKEN","False","True","False","False","False"
"RESEND_API_KEY","False","True","False","False","False"
"SHIPROCKET_EMAIL","False","False","False","False","False"
"SHIPROCKET_PASSWORD","False","True","False","False","False"
"SHIPROCKET_PICKUP_LOCATION","False","False","False","False","False"
"SLACK_FINANCE_WEBHOOK_URL","False","False","False","False","False"
"SLACK_OPS_WEBHOOK_URL","False","False","False","False","False"
"SMS_ENABLED","False","False","True","False","False"
"SUPABASE_SERVICE_KEY","False","True","False","False","True"
"SUPABASE_SERVICE_ROLE_KEY","False","True","False","False","True"
"SUPABASE_STORAGE_BUCKET","False","False","False","False","True"
"SUPABASE_URL","False","False","False","False","True"
"TELECALLER_TEAM_EMAIL","False","False","False","False","False"
"TELECALLER_TEAM_PHONE","False","False","False","False","False"
"WA_ACCESS_TOKEN","False","True","False","False","False"
"WA_PHONE_NUMBER_ID","False","False","False","False","False"
"WATI_API_ENDPOINT","False","False","True","False","False"
"WATI_API_KEY","False","True","True","False","False"
"WHATSAPP_ENABLED","False","False","True","False","False"
